CASEID,POLEFY15,AGE
55088,2,22
55089,2,21
55095,2,24
55098,3,55
55100,3,28
55106,4,55
55107,1,18
55109,3,39
55114,4,22
55115,1,50
55123,4,62
55126,1,27
55131,4,57
55134,3,73
55137,5,63
55143,3,51
55144,3,41
55148,4,67
55151,4,45
55155,3,49
55158,4,28
55160,3,47
55161,4,48
55167,2,23
55175,3,28
55176,3,84
55178,3,54
55184,5,54
55186,3,41
55189,3,75
55194,3,47
55198,3,46
55200,1,32
55201,3,63
55204,2,33
55206,1,68
55213,4,36
55214,4,53
55215,3,40
55225,2,74
55227,5,60
55228,5,78
55231,2,67
55237,2,41
55239,3,49
55248,2,29
55250,3,47
55253,4,18
55255,4,28
55261,4,22
55267,2,38
55269,5,40
55274,4,56
55276,4,39
55280,5,65
55283,2,25
55285,2,38
55288,2,41
55293,3,61
55294,3,31
55296,3,30
55298,5,50
55300,3,30
55303,4,36
55306,2,22
55311,3,38
55312,2,67
55314,3,64
55315,3,89
55318,4,42
55320,2,68
55324,3,53
55325,1,32
55327,3,28
55331,5,34
55332,3,87
55334,2,39
55336,4,32
55338,3,55
55339,4,53
55342,3,30
55343,2,89
55347,3,69
55349,2,55
55350,3,78
55353,4,71
55359,3,68
55360,3,47
55369,4,49
55373,4,33
55374,4,65
55377,3,35
55379,5,43
55383,2,25
55384,2,81
55387,2,56
55389,3,69
55391,4,39
55396,3,20
55397,5,53
55398,5,53
55400,4,63
55403,5,77
55404,1,48
55409,3,50
55411,1,33
55413,3,33
55416,2,27
55421,2,89
55422,3,49
55425,4,41
55426,3,57
55430,4,45
55433,3,61
55436,4,47
55437,3,26
55441,3,32
55445,3,55
55446,4,35
55449,3,52
55450,3,46
55457,4,56
55458,3,60
55459,3,65
55460,2,85
55462,1,27
55463,1,85
55470,1,37
55476,3,78
55477,3,19
55481,4,41
55485,2,36
55488,3,35
55489,4,37
55492,3,49
55496,4,69
55497,3,48
55499,3,51
55502,2,89
55504,3,62
55507,2,38
55508,4,31
55517,4,44
55521,5,32
55526,4,71
55528,3,64
55531,1,71
55534,3,50
55535,3,23
55539,4,46
55543,4,59
55546,4,39
55553,5,46
55554,2,41
55557,2,48
55566,1,19
55567,4,55
55573,3,59
55576,4,45
55577,1,37
55583,2,34
55590,2,26
55591,2,40
55594,4,49
55596,3,40
55597,4,80
55600,4,74
55601,3,75
55605,1,32
55607,2,26
55610,5,41
55612,3,30
55614,3,65
55620,3,58
55623,2,40
55627,2,45
55628,2,77
55630,2,43
55632,4,58
55637,2,24
55640,4,42
55642,3,76
55646,3,53
55648,2,86
55651,3,40
55653,3,68
55657,3,72
55659,3,43
55661,3,34
55662,5,79
55663,2,60
55666,3,63
55672,3,42
55675,3,49
55682,4,49
55687,4,36
55690,2,35
55693,3,28
55699,2,64
55700,4,50
55703,3,35
55704,2,72
55708,3,32
55711,2,67
55713,3,50
55716,2,49
55718,3,51
55721,3,58
55722,2,40
55723,2,32
55731,3,42
55733,4,69
55735,2,37
55736,3,33
55744,3,59
55747,2,26
55750,4,27
55751,3,52
55755,3,73
55758,3,36
55763,3,76
55765,3,63
55769,2,64
55772,2,43
55773,4,57
55777,3,23
55780,4,57
55783,3,43
55792,4,54
55793,4,52
55799,2,24
55800,4,72
55806,3,49
55808,4,53
55813,3,49
55818,3,66
55826,3,62
55828,2,29
55831,3,41
55833,4,64
55839,3,66
55853,4,76
55854,3,51
55855,3,37
55857,3,22
55860,3,43
55861,3,66
55862,5,47
55865,3,56
55867,5,61
55869,3,42
55872,3,42
55875,3,38
55876,4,62
55878,2,27
55880,3,34
55884,3,51
55886,4,81
55887,2,22
55891,3,63
55896,2,67
55898,2,51
55911,5,42
55913,4,46
55915,5,63
55917,4,33
55920,2,68
55929,3,38
55931,3,48
55935,2,51
55940,1,38
55943,1,63
55945,2,52
55948,2,49
55954,5,31
55960,2,28
55964,3,39
55966,4,80
55970,1,32
55974,3,35
55976,2,57
55978,5,39
55982,4,32
55985,2,29
55986,3,74
55989,3,71
55998,4,40
56009,3,76
56012,3,31
56014,3,38
56017,4,72
56022,2,39
56025,3,61
56028,3,32
56034,4,44
56035,4,37
56037,1,31
56038,3,57
56042,2,41
56043,3,42
56050,2,19
56051,5,58
56055,1,37
56056,4,42
56060,3,40
56063,4,56
56065,5,38
56069,3,49
56073,3,83
56077,2,23
56080,3,50
56082,3,77
56084,2,32
56085,2,61
56089,1,20
56090,2,30
56093,3,57
56100,1,84
56103,2,21
56106,2,83
56107,1,77
56111,5,62
56113,3,27
56116,5,60
56117,3,61
56123,3,39
56125,2,52
56128,3,41
56137,1,59
56138,2,46
56140,2,46
56146,3,30
56148,2,42
56151,3,63
56155,4,51
56158,4,28
56159,2,60
56163,3,30
56164,3,51
56165,3,31
56167,5,49
56173,3,35
56176,2,38
56177,5,52
56181,1,38
56183,3,53
56186,5,78
56190,3,32
56194,1,23
56198,3,62
56200,4,30
56204,3,53
56206,3,26
56215,4,53
56219,4,63
56221,2,43
56224,2,27
56227,4,53
56232,3,38
56236,4,77
56240,5,36
56241,3,67
56244,2,58
56248,4,40
56253,3,21
56256,4,62
56260,3,83
56263,3,61
56265,4,73
56267,3,69
56269,4,59
56273,4,29
56275,2,30
56279,5,56
56283,4,55
56285,3,29
56287,2,64
56288,2,41
56289,4,39
56291,3,54
56292,4,47
56299,3,19
56300,1,46
56303,5,35
56307,4,31
56308,3,67
56310,3,88
56312,2,70
56314,4,39
56316,1,33
56318,3,31
56322,2,52
56326,4,52
56329,2,84
56333,3,37
56338,3,28
56346,3,60
56348,2,81
56353,3,43
56355,3,37
56362,3,47
56364,4,21
56366,4,59
56368,3,57
56371,2,49
56373,3,22
56377,5,41
56378,2,47
56382,3,72
56385,4,61
56387,4,65
56391,2,71
56395,4,60
56397,3,51
56398,3,66
56400,1,52
56403,4,26
56410,3,30
56417,3,50
56423,3,62
56425,5,44
56429,2,87
56430,3,75
56433,1,55
56435,5,84
56439,4,59
56443,4,47
56448,3,25
56451,3,68
56453,4,88
56455,1,28
56456,4,58
56458,2,62
56459,3,38
56463,3,36
56467,3,63
56468,2,59
56470,2,26
56472,2,52
56475,3,18
56482,4,41
56487,3,21
56489,3,46
56491,3,28
56496,3,59
56498,1,24
56500,3,41
56504,5,55
56505,2,35
56507,5,83
56509,3,68
56516,2,89
56518,2,34
56519,5,45
